Step,Energy_eV_per_atom,NC
68400,-45.396389,0.3197
68500,-45.576582,0.3197
68600,-46.142458,0.3197
68700,-46.186486,0.3197
68800,-46.413328,0.3197
68900,-46.443248,0.3197
69000,-46.528566,0.3197
69100,-46.627577,0.3197
69200,-46.724271,0.3197
69300,-46.781275,0.3197
69400,-47.052134,0.3197
69500,-47.135158,0.3197
69600,-47.271850,0.3197
69700,-47.369010,0.3197
69800,-47.672194,0.3197
69900,-47.736165,0.3197
70000,-47.905280,0.3197
70100,-47.989823,0.3197
70200,-48.235896,0.3197
70300,-48.302706,0.3197
70400,-48.551036,0.3197
70500,-48.745143,0.3197
70600,-48.899254,0.3197
70700,-48.939875,0.3197
70800,-49.482731,0.3197
70900,-49.524734,0.3197
71000,-49.621944,0.3197
71100,-49.689033,0.3197
71200,-49.945444,0.3197
71300,-50.601634,0.3197
71400,-51.286840,0.3197
71500,-51.370169,0.3197
71600,-51.476744,0.3197
71700,-51.690437,0.3197
71800,-51.733292,0.3197
71900,-51.829615,0.3197
72000,-52.021228,0.3197
72100,-52.284185,0.3197
72200,-52.316736,0.3197
72300,-52.566773,0.3197
72400,-52.659425,0.3197
72500,-52.900105,0.3197
72600,-53.050891,0.3197
72700,-53.119523,0.3197
72800,-53.146169,0.3197
72900,-53.165939,0.3197
73000,-53.350542,0.3197
73100,-53.419599,0.3197
73200,-53.474205,0.3197
73300,-53.534128,0.3197
73400,-53.607161,0.3197
73500,-53.892981,0.3197
73600,-54.166405,0.3236
73700,-54.210812,0.3197
73800,-54.310822,0.3236
73900,-54.386699,0.3236
74000,-54.489719,0.3236
74100,-54.527846,0.3236
74200,-54.563035,0.3236
74300,-54.913419,0.3236
74400,-54.964690,0.3236
74500,-55.020069,0.3236
74600,-55.301752,0.3236
74700,-55.420804,0.3236
74800,-55.489666,0.3236
74900,-55.609668,0.3236
75000,-55.681756,0.3236
75100,-55.742300,0.3236
75200,-55.806348,0.3236
75300,-55.969418,0.3197
75400,-56.035919,0.3197
75500,-56.072032,0.3197
75600,-56.231145,0.3197
75700,-56.302460,0.3197
75800,-56.662248,0.3158
75900,-56.685171,0.3158
76000,-56.854003,0.3197
76100,-56.866958,0.3197
76200,-57.012433,0.3197
76300,-57.054146,0.3236
76400,-57.088809,0.3236
76500,-57.205294,0.3236
76600,-57.531834,0.3236
76700,-57.690158,0.3236
76800,-58.018164,0.3236
76900,-58.180858,0.3236
77000,-58.247485,0.3236
77100,-58.444880,0.3236
77200,-58.466546,0.3236
77300,-58.620863,0.3236
77400,-58.682903,0.3236
77500,-58.716732,0.3236
77600,-62.170988,0.3236
77700,-62.547518,0.3236
77800,-62.704203,0.3236
77900,-62.911623,0.3275
78000,-62.988773,0.3275
78100,-63.054996,0.3275
78200,-63.107511,0.3275
78300,-63.173815,0.3275
78400,-63.264311,0.3275
78500,-63.343369,0.3275
78600,-63.386201,0.3275
78700,-63.535921,0.3275
78800,-63.623098,0.3275
78900,-63.655226,0.3275
79000,-63.700373,0.3275
79100,-63.869891,0.3275
79200,-63.883544,0.3275
79300,-63.900870,0.3236
79400,-63.917292,0.3236
79500,-63.975421,0.3236
79600,-64.083623,0.3236
79700,-64.115619,0.3236
79800,-64.166535,0.3236
79900,-64.384986,0.3236
80000,-64.569114,0.3275
80100,-64.755030,0.3275
80200,-64.803716,0.3275
80300,-65.183190,0.3236
80400,-65.228214,0.3236
80500,-65.244977,0.3236
80600,-65.300661,0.3236
80700,-65.422803,0.3236
80800,-65.494623,0.3236
80900,-65.582065,0.3236
81000,-65.686791,0.3236
81100,-66.966849,0.3236
81200,-66.991830,0.3236
81300,-67.153602,0.3236
81400,-67.161278,0.3236
81500,-67.191688,0.3236
81600,-67.249500,0.3236
81700,-67.303927,0.3236
81800,-67.420178,0.3236
81900,-67.447868,0.3197
82000,-67.461949,0.3197
82100,-67.542565,0.3197
82200,-67.601293,0.3197
82300,-67.612072,0.3197
82400,-67.727297,0.3158
82500,-67.738708,0.3158
82600,-67.800269,0.3119
82700,-67.910090,0.3119
82800,-67.953773,0.3119
82900,-68.365436,0.3119
83000,-68.467475,0.3119
83100,-68.495505,0.3119
83200,-68.567541,0.3119
83300,-68.690525,0.3119
83400,-68.838374,0.3119
83500,-68.903624,0.3119
83600,-68.977469,0.3119
83700,-68.998863,0.3119
83800,-69.081944,0.3119
83900,-69.195105,0.3119
84000,-69.239793,0.3119
84100,-69.286914,0.3119
84200,-69.433624,0.3119
84300,-69.438542,0.3119
84400,-69.460894,0.3119
84500,-69.617902,0.3119
84600,-69.631888,0.3119
84700,-69.835885,0.3119
84800,-69.967103,0.3158
84900,-70.324286,0.3158
85000,-70.394116,0.3158
85100,-70.527112,0.3158
85200,-70.544442,0.3158
85300,-70.651534,0.3158
85400,-70.977303,0.3158
85500,-71.070140,0.3158
85600,-71.103102,0.3158
85700,-71.732055,0.3158
85800,-71.794119,0.3158
85900,-71.821601,0.3158
86000,-72.033350,0.3158
86100,-72.613944,0.3158
86200,-72.640183,0.3158
86300,-72.873593,0.3158
86400,-72.876447,0.3158
86500,-72.988410,0.3197
86600,-73.125864,0.3236
86700,-73.428518,0.3236
86800,-73.661043,0.3236
86900,-74.097028,0.3236
87000,-74.897151,0.3236
87100,-75.261444,0.3236
87200,-76.093917,0.3236
87300,-76.189008,0.3236
87400,-76.778990,0.3236
87500,-77.095581,0.3236
87600,-77.392510,0.3236
87700,-77.483000,0.3236
87800,-77.800655,0.3236
87900,-78.058884,0.3236
88000,-78.174417,0.3236
88100,-78.190079,0.3236
88200,-78.294952,0.3236
88300,-78.367377,0.3236
88400,-78.634438,0.3236
88500,-79.100578,0.3236
88600,-79.330601,0.3236
88700,-79.337805,0.3236
88800,-79.418048,0.3236
88900,-79.827390,0.3236
89000,-79.872499,0.3236
89100,-80.131599,0.3236
89200,-80.384840,0.3236
89300,-80.553331,0.3236
89400,-80.612103,0.3236
89500,-81.156198,0.3236
89600,-81.253841,0.3236
89700,-82.007422,0.3236
89800,-82.259722,0.3236
89900,-82.611181,0.3236
90000,-82.782291,0.3236
90100,-82.998481,0.3236
90200,-83.254628,0.3236
90300,-83.446460,0.3236
90400,-83.653745,0.3236
90500,-85.134327,0.3236
90600,-85.613807,0.3236
90700,-85.805447,0.3197
90800,-85.969619,0.3197
90900,-86.084232,0.3197
91000,-86.932191,0.3197
91100,-87.248537,0.3197
91200,-87.858042,0.3197
91300,-88.730272,0.3197
91400,-88.859264,0.3197
91500,-89.079582,0.3197
91600,-89.120784,0.3197
91700,-89.499847,0.3197
91800,-89.636696,0.3197
91900,-90.851266,0.3197
92000,-91.380171,0.3236
92100,-92.029590,0.3236
92200,-92.916719,0.3236
92300,-94.304054,0.3236
92400,-96.439028,0.3236
92500,-96.723044,0.3236
92600,-96.820401,0.3236
92700,-96.831556,0.3236
92800,-96.979810,0.3236
92900,-97.175994,0.3236
93000,-97.622858,0.3236
93100,-99.089480,0.3236
93200,-100.066434,0.3236
93300,-100.808929,0.3236
93400,-101.088386,0.3236
93500,-101.849877,0.3236
93600,-102.032979,0.3236
93700,-102.717008,0.3236
93800,-103.185493,0.3236
93900,-103.379969,0.3236
94000,-103.990106,0.3236
94100,-104.488330,0.3197
94200,-104.784097,0.3197
94300,-105.001169,0.3197
94400,-106.061861,0.3197
94500,-106.349775,0.3197
94600,-106.671525,0.3197
94700,-107.052991,0.3197
94800,-107.876785,0.3197
94900,-108.065276,0.3197
95000,-109.757890,0.3197
95100,-110.154689,0.3197
95200,-110.370213,0.3197
95300,-110.434502,0.3197
95400,-110.619300,0.3197
95500,-110.727722,0.3197
95600,-111.115296,0.3197
95700,-111.213211,0.3197
95800,-111.363008,0.3197
95900,-111.981033,0.3236
96000,-112.465362,0.3236
96100,-112.648246,0.3236
96200,-113.003545,0.3236
96300,-113.164965,0.3236
96400,-114.149149,0.3236
96500,-114.257289,0.3197
96600,-115.043726,0.3197
96700,-115.436813,0.3197
96800,-115.642626,0.3197
96900,-117.458835,0.3197
97000,-117.660813,0.3197
97100,-118.284404,0.3197
97200,-118.638993,0.3197
97300,-119.488103,0.3197
97400,-119.881498,0.3197
97500,-120.240974,0.3197
97600,-120.346359,0.3197
97700,-120.598531,0.3197
97800,-121.264901,0.3197
97900,-121.811826,0.3197
98000,-122.716633,0.3197
98100,-123.411089,0.3197
98200,-124.319239,0.3197
98300,-125.170304,0.3197
98400,-125.194071,0.3197
98500,-125.247955,0.3197
98600,-127.862063,0.3197
98700,-127.917761,0.3197
98800,-128.588275,0.3197
98900,-128.827219,0.3197
99000,-129.075066,0.3197
99100,-129.169265,0.3197
99200,-129.205939,0.3197
99300,-129.226445,0.3197
99400,-129.618575,0.3236
